year,quarter,category_code,category_name,vendor,stuks,opp_ha
2015,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2016,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2016,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2016,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2016,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2017,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2017,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2017,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2017,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2018,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2018,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2018,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2018,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2019,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2019,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2019,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2019,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2020,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2020,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2020,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2020,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2021,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2021,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2021,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2021,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2022,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2022,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2022,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2022,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2023,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2023,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2023,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2023,Q4,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2024,Q1,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2024,Q2,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
2024,Q3,202,202 - PAPRIKA GEEL,P  17 - GROBAR,0,24.0066
