category_code,category_name,total_opp_ha,predicted_total_stuks
200,200 - PAPRIKA GROEN,477.6788,179381
198,198 - PAPRIKA DIV.,477.67879999999997,2065
201,201 - PAPRIKA ROOD,477.67879999999997,442306
202,202 - PAPRIKA GEEL,477.6788,248138
203,203 - PAPRIKA ORANJE,477.67879999999997,0
204,204 - PAPRIKA PAARS,477.67879999999997,0
205,205 - PAPRIKA WIT,477.67879999999997,0
206,206 - PAPRIKA MUNT,477.67879999999997,0
207,207 - PAPRIKA LILA,477.67879999999997,0
208,208 - PAPRIKA BRUIN,477.67879999999997,0
209,209 - PAPRIKA MIX,477.67879999999997,0
210,210 - MINI-PAPRIKA,477.67879999999997,175537
217,217 - PUNTPAPRIKA,477.6788,78961
219,219 - PEPERS,0.0,66778
