category_code,category_name,total_opp_ha,predicted_total_stuks
200,200 - PAPRIKA GROEN,477.6788,867925
198,198 - PAPRIKA DIV.,477.67879999999997,0
201,201 - PAPRIKA ROOD,477.67879999999997,5408394
202,202 - PAPRIKA GEEL,477.6788,2518612
203,203 - PAPRIKA ORANJE,477.67879999999997,519
204,204 - PAPRIKA PAARS,477.67879999999997,328
205,205 - PAPRIKA WIT,477.67879999999997,328
206,206 - PAPRIKA MUNT,477.67879999999997,328
207,207 - PAPRIKA LILA,477.67879999999997,328
208,208 - PAPRIKA BRUIN,477.67879999999997,328
209,209 - PAPRIKA MIX,477.67879999999997,328
210,210 - MINI-PAPRIKA,477.67879999999997,180083
217,217 - PUNTPAPRIKA,477.6788,1118312
219,219 - PEPERS,0.0,337250
