year,week,total_kg
2022,7,1833.16
2022,8,1037.44
2022,9,833.76
2022,10,7474.64
2022,11,33062.04
2022,12,284903.48
2022,13,284044.44
2022,14,266763.94
2022,15,440181.3
2022,16,606862.62
2022,17,783975.38
2022,18,922883.17
2022,19,664228.61
2022,20,664664.48
2022,21,967602.54
2022,22,767516.83
2022,23,1013557.28
2022,24,1189693.85
2022,25,1054363.81
2022,26,719303.42
2022,27,684650.52
2022,28,746201.69
2022,29,822104.2
2022,30,992125.81
2022,31,1073120.45
2022,32,970198.72
2022,33,762902.22
2022,34,423741.22
2022,35,566637.21
2022,36,780088.24
2022,37,627359.54
2022,38,593092.59
2022,39,495112.91
2022,40,433209.96
2022,41,525239.91
2022,42,480684.9
2022,43,446821.71
2022,44,444767.91
2022,45,226743.38
2022,46,172700.33
2022,47,14909.34
2022,48,2945.96
2022,49,1729.64
2022,50,1457.3
2022,51,1421.96
2022,52,1910.58
2022,53,1129.88
2023,1,676.24
2023,2,1346.16
2023,3,1276.44
2023,4,1269.0
2023,5,1703.84
2023,6,1367.68
2023,7,1377.36
2023,8,1463.68
2023,9,5938.48
2023,10,46836.92
2023,11,168853.38
2023,12,206783.08
2023,13,221196.06
2023,14,227803.88
2023,15,208294.94
2023,16,431771.32
2023,17,873497.56
2023,18,894098.64
2023,19,736714.08
2023,20,570867.98
2023,21,1035495.18
2023,22,972676.36
2023,23,860053.42
2023,24,698474.4
2023,25,996711.78
2023,26,771015.14
2023,27,1164645.46
2023,28,1104457.3
2023,29,874749.6
2023,30,673732.7
2023,31,661920.38
2023,32,644965.44
2023,33,766779.28
2023,34,877752.9
2023,35,784957.34
2023,36,817679.18
2023,37,627162.06
2023,38,464994.36
2023,39,490122.9
2023,40,781004.52
2023,41,790825.98
2023,42,315048.42
2023,43,336778.86
2023,44,383407.7
2023,45,131126.98
2023,46,27798.76
2023,47,11097.36
2023,48,125118.04
2023,49,702.3
2023,50,1538.36
2023,51,1093.12
2023,52,813.48
2024,1,457.68
2024,2,872.2
2024,3,455.26
2024,4,870.16
2024,5,1192.46
2024,6,650.16
2024,7,820.46
2024,8,588.4
2024,9,6285.16
2024,10,14806.6
2024,11,75772.52
2024,12,258224.34
2024,13,239126.88
2024,14,217026.28
2024,15,228034.33
2024,16,459035.66
2024,17,872427.52
2024,18,833443.64
2024,19,660685.88
2024,20,1077751.68
2024,21,1036662.74
2024,22,1129102.62
2024,23,631171.78
2024,24,675709.88
2024,25,811968.66
2024,26,815958.7
2024,27,830277.44
2024,28,773787.44
2024,29,711552.3
2024,30,767889.78
2024,31,1144971.92
2024,32,923379.5
2024,33,461373.18
2024,34,740755.3
2024,35,752337.08
2024,36,722567.58
2024,37,704526.78
2024,38,620954.66
2024,39,573969.54
2024,40,595486.74
2024,41,557480.2
2024,42,542747.54
2024,43,408234.48
2024,44,275981.12
2024,45,222834.94
2024,46,42316.2
2024,47,100041.8
2024,48,10154.48
2024,49,1295.12
2024,50,1123.8
2024,51,749.96
2024,52,713.56
2024,53,216.24
2025,1,173.8
2025,2,711.44
2025,3,625.56
2025,4,694.36
2025,5,577.9
2025,6,286.72
2025,7,746.06
2025,8,363.68
2025,9,1153.48
2025,10,8021.24
2025,11,46280.08
2025,12,271075.72
2025,13,228290.7
2025,14,264032.42
2025,15,428466.38
2025,16,506099.14
2025,17,744476.26
2025,18,899597.0
2025,19,1207389.28
2025,20,1104651.9
2025,21,941165.56
2025,22,875814.5
2025,23,759258.04
2025,24,676802.86
2025,25,1049935.76
2025,26,1165725.64
2025,27,1001759.94
2025,28,595864.66
2025,29,679017.5
2025,30,960340.02
2025,31,1102566.7
2025,32,1046134.3
2025,33,801110.38
2025,34,789381.42
2025,35,849243.0
2025,36,816700.6
2025,37,614806.86
2025,38,662537.42
2025,39,833876.44
2025,40,894052.64
2025,41,866314.88
2025,42,767288.7
2025,43,318148.88
2025,44,190349.86
2025,45,143638.22
2025,46,35735.44
2025,47,20978.26
2025,48,7456.82
2025,49,797.14
2025,50,1236.24
2025,51,1627.8
2025,52,570.2
2025,53,298.84
2026,1,780.16
2026,2,580.08
2026,3,722.56
2026,4,779.28
2026,5,764.44
2026,6,507.28
2026,7,558.08
2026,8,442.56
2026,9,1361.28
2026,10,8623.46
2026,11,133401.2
2026,12,250224.12
